x,y,z,color
0.1011842,-0.03312464,0.80498493,white
-0.0643431,0.18802369,0.51198363,white
0.12419036,0.01205273,0.64279878,white
0.28632975,-0.1567509,0.62263608,red
0.11268403,0.17455548,0.11627643,orange
0.01740523,0.20345958,-0.07215784,red
-0.10689401,-0.07758499,-0.76519608,black
0.36304986,-0.10518707,0.5421561,red
0.07000968,-0.12023532,1.07312524,red
-0.04399529,0.0076696,0.61984211,white
-0.01329641,0.19710259,0.30774838,white
-0.0913524,-0.08651985,-0.87084597,black
0.00834851,0.11436816,0.61637479,white
-0.33150631,-0.01953364,0.27190861,red
0.22320831,-0.24614933,0.60810542,white
-0.09501011,-0.2220688,-0.09665652,red
0.71223593,0.00593096,0.05454406,white
0.37444377,-0.02564208,0.51976192,red
0.31730336,0.03451234,-0.23,white
0.03864779,-0.23895018,0.69537973,white
-0.00999513,-0.08134635,-0.39291281,red
0.01874864,0.25761288,0.57908297,white
0.21767057,-0.16453724,-0.26781896,red
-0.10100602,0.36012203,-0.95701998,black
-0.00754038,-0.30118921,0.08696844,orange
0.80066675,-0.18438126,0.03272767,white
0.31447706,-0.0028988,0.10406739,red
0.23521474,-0.23107131,-0.14025001,red
-0.31428039,-0.01716301,0.16655684,orange
-0.11483939,0.23105164,0.55039686,white
-0.34957159,-0.09384099,0.56121957,red
-0.04131182,0.25327474,0.4093217,white
-0.0327999,-0.14974681,-0.29404166,red
0.0719595,0.20523673,0.04826451,red
-0.11719879,0.21042934,-0.15729773,white
0.16466668,-0.26029465,0.17041282,red
-0.11870798,-0.23501471,0.61983812,red
0.33551568,-0.07667374,0.57750499,red
0.00288212,-6.736e-05,-0.40288752,red
-0.24846104,0.06249939,0.49408782,red
0.05703286,-0.15249695,-0.05,red
0.55755705,-0.19932021,0.20264629,white
-0.02664489,-0.27971101,-0.23000684,white
-0.06922595,-0.32095605,-0.05499981,white
-0.63761389,-0.17078747,0.08820355,white
0.05906495,0.09549747,0.84098148,white
-0.09953731,-0.09914123,-0.94994026,black
-0.09836295,0.17236358,-0.08497918,red
-0.04913738,0.19533972,-0.04557909,red
-0.1135153,0.04032756,0.67096329,red
0.24952671,0.08471244,0.03553117,red
0.28753439,-0.12626839,-0.23239656,red
-0.16822599,-0.21467598,-0.2068332,red
-0.07679564,0.05717581,0.72820276,white
-0.12212208,0.08651533,0.50689232,red
-0.57660514,-0.24939467,0.14393139,white
0.04654704,-0.25948668,0.62313646,white
0.01107674,0.14011608,0.74100971,white
-0.04990692,0.0516011,0.66901803,red
-0.04473875,-0.0705416,0.77465761,white
-0.00011536,-0.00890382,-0.16942719,red
-0.1815327,0.17188822,0.0816956,red
0.04194756,0.05329346,1.02034342,red
-0.26921794,0.08750872,-0.16523618,white
0.2983821,0.02006242,0.13215499,red
0.42498159,-0.15455785,0.13807321,red
0.54032665,-0.17350243,0.28605995,red
0.04119221,0.12196338,0.81759989,white
-0.03370472,0.01621947,1.05190897,red
-0.1188369,-0.13704892,-0.62167704,black
0.26240999,-0.11560297,-0.41709399,red
-0.28714365,-0.20035303,-0.03845713,red
-0.1073309,0.0981793,-0.52774978,red
0.14476141,-0.21016106,-0.08132403,red
0.14594147,0.17464446,0.1591225,orange
0.21594636,-0.20323864,0.29929999,red
0.15440163,0.17328957,0.58973688,white
-0.06671464,-0.12140179,0.77108133,white
0.26733553,0.06681064,0.168974,orange
-0.34474868,-0.17145839,-0.09760285,white
0.070196,0.2599946,0.47909734,white
0.3163535,-0.21012421,-0.11574155,white
-0.03595535,0.1205361,0.80985141,white
-0.08204098,0.21741465,-0.20368823,white
-0.00335403,-0.04976051,-0.45739692,red
0.09429634,-0.07508869,-0.99826968,black
-0.12798747,-0.31322667,-0.03963188,red
-0.0897601,0.25608209,0.43055281,white
-0.19571388,-0.20038803,0.62988365,red
-0.03513049,0.04591826,0.96569186,white
0.27188998,-0.01002977,-0.1403387,red
-0.04664637,0.05751783,-0.05,red
0.48642436,-0.20424883,0.07912833,white
0.07780522,-0.10255268,0.83235151,white
-0.14312908,-0.17201087,-0.41852307,red
0.06567699,0.18709563,0.16687784,red
-0.53598684,-0.18566144,0.26464012,red
0.0155575,0.15897533,0.29078773,white
-0.14489409,-0.12230067,-0.53584784,red
0.00829559,-0.04124475,0.61528742,white
0.15454453,0.06156991,-0.99983394,black
-0.32305261,-0.04734047,-0.22575808,red
0.04847169,0.07514332,-0.59704256,black
-0.29928753,-0.00977321,0.12305545,orange
-0.12166421,0.31313369,-0.89008296,black
-0.11752029,0.20213321,-0.10486057,white
0.24507821,-0.22469912,0.16463038,orange
0.09145007,0.20299473,-0.88710934,black
-0.24495974,0.02296387,-0.99323922,black
-0.12048738,-0.27089655,0.09541087,orange
-0.18754885,0.17675969,0.50535601,white
-0.47303078,-0.01366373,0.22335574,red
-0.10447644,0.09179144,0.61341554,white
0.04303744,0.11377206,0.71821308,white
-0.30225122,-0.13590093,0.12383856,orange
0.28130028,0.01856413,-0.6809274,black
0.30558646,-0.11452455,-0.11287151,red
-0.07395798,0.15933385,0.62481034,white
-0.00875629,0.0895535,0.51072466,white
0.01873751,-0.00440772,-0.55613464,red
0.11755659,-0.02143128,0.73983288,white
0.19401574,0.07365692,0.48987922,red
0.32474828,0.0341043,-0.23,white
0.30819193,0.00494898,0.14853521,orange
-0.01311569,-0.12966928,-0.41026154,red
0.15797126,0.13734789,-0.87015396,black
-0.23151024,-0.10011844,0.63121247,white
-0.07366481,-0.2316414,0.57621145,red
-0.22571586,-0.01771329,-0.66417736,black
-0.01265409,-0.06972694,0.67592502,white
-0.02266985,0.16106266,0.68349004,white
-0.13166395,-0.26707172,0.08496983,orange
-0.01838747,0.21964732,-0.02845703,red
0.05807947,0.08205692,-0.60416293,black
0.00836269,0.1127632,0.61778253,red
-0.08251888,0.10195155,-0.56117821,black
-0.06311144,-0.10159589,0.74877465,white
0.18543537,-0.26061648,0.11341939,orange
0.19473563,0.10792103,-0.68338865,black
0.10774446,-0.3099941,-0.05185381,red
-0.02160285,0.205731,0.47835994,white
0.312107,0.05000894,-0.10960172,white
0.01501832,-0.03857777,-0.67936075,black
0.55913532,-0.22096665,0.07909011,white
0.15824431,0.13872129,-0.53839862,black
-0.07904274,0.10310142,-0.47766364,red
-0.19693954,0.06944827,-0.80900806,black
0.25751394,0.07053927,-0.05039561,red
0.05363254,-0.10728969,0.75798917,white
-0.06483057,-0.24764657,0.36243868,red
-0.13243464,-0.18202317,-0.31001261,red
0.0496288,-0.15502909,0.77131414,white
-0.22122508,-0.25901493,0.60058552,white
-0.02578209,0.24054025,-0.08501382,white
-0.0571107,0.11983918,0.58116877,white
-0.07470173,-0.18306665,0.68445176,white
0.18501568,0.14287388,0.60015255,white
0.04842106,-0.01118653,-0.6810773,black
-0.21007289,0.03821859,-0.84154588,black
-0.26686385,-0.21604609,0.3994402,red
0.08623201,-0.150316,0.71601021,white
0.03827451,0.13589954,0.6214503,white
-0.10556148,0.16623484,-0.23,white
0.28074878,-0.18360353,0.3448731,red
-0.02029716,0.28732798,0.49391043,white
-0.03687302,-0.29850593,0.10264255,orange
0.86305094,-0.09506246,-0.02197475,white
-0.12102201,-0.03155836,0.6772272,white
0.42724046,-0.02776952,0.23297782,red
0.24730629,0.03893997,-0.562271,black
0.62171578,-0.19536124,0.22855017,white
-0.47495365,-0.03842711,0.31874144,red
0.13112384,0.20562124,-0.21375409,white
-0.51356274,-0.20959103,0.14700365,red
0.13542537,0.05892047,-0.64387608,black
0.01044127,0.18395849,0.21298829,red
0.03336277,0.15105911,0.49968565,white
0.10708562,-0.02050836,0.79512227,white
-0.00267964,-0.07434551,-0.15765445,red
0.11879811,0.0164819,0.68494737,white
-0.19133152,0.09091748,0.58342361,white
0.01109348,-0.19120719,0.73086923,white
-0.01361921,-0.0636881,0.8162092,white
-0.02992373,0.13675848,0.76184356,white
-0.06350937,-0.12206239,0.69641781,white
0.01647709,0.16996938,0.24511911,red
0.07608964,0.10777806,0.62103975,white
-0.18940967,0.06525864,0.60356569,red
0.59870875,-0.11810524,0.1145407,white
-0.34480605,-0.04273264,0.22915781,red
0.02429749,-0.12170224,0.73192751,white
0.04408931,0.06508852,1.01017356,red
0.05558031,0.04478656,-0.7418775,black
-0.16003604,-0.22133948,0.65940261,white
0.23271221,0.12149391,-0.23,white
0.55944592,-0.15635984,0.10009056,white
-0.21650584,0.07257666,-0.53805465,red
-0.46488631,-0.08403288,0.17605232,white
0.59162623,-0.19330029,0.24159665,white
0.30183578,-0.17340472,-0.01462878,red
-0.25958544,0.0382361,0.25499037,red
0.01505467,-0.12701137,-0.44564676,red
0.04369839,0.07468309,-0.583727,black
-0.06113064,0.23387258,-0.00893541,red
-0.05712358,0.21151675,-0.01692191,red
0.14853004,0.13745432,0.28231272,red
0.09075142,0.20095178,0.04289868,red
-0.3487491,-0.09281147,-0.13419157,white
-0.19570777,0.0769069,0.34640148,red
-0.30652037,-0.07517933,-0.25781918,red
0.05454291,-0.09414522,-0.54087615,black
-0.23589845,-0.10201606,0.61751091,white
-0.00219665,0.09332787,0.70012969,white
-0.04031392,0.15624022,0.5919736,white
0.42963696,-0.18642569,0.23630208,white
-0.60133499,-0.24964207,0.14310852,white
0.05066336,0.05130884,0.94954181,white
-0.0765031,0.13819273,0.70414019,white
0.04233704,0.02371464,1.04493189,red
0.1768077,0.13017954,0.56360584,white
-0.13981315,0.21977091,0.5339185,white
-0.56979376,-0.01303028,0.20402165,white
0.50758058,-0.02971317,0.16425247,red
0.19242686,0.15006317,0.19769876,red
-0.16038501,-0.24836591,0.25445521,red
0.00550139,0.00778895,-0.26641595,red
-0.01017581,0.1018872,0.52596664,white
-0.08962505,0.03834716,0.74518913,white
-0.15454887,-0.2357574,0.39552227,red
0.10352046,0.03612759,0.72369444,white
0.25189757,0.07417113,0.13737555,orange
-0.2304915,0.10832299,-0.26038253,red
0.00085001,-0.06121728,-0.41285414,red
-0.00409477,0.12267257,0.54469728,red
-0.46457386,-0.09280395,0.16941348,white
0.08839916,0.08760785,0.93573558,red
-0.11168007,-0.08051436,-0.67613447,black
0.03217212,0.03349455,-0.56571114,red
-0.14676732,0.08388086,0.4796176,red
0.62725747,-0.06622577,0.09747127,white
0.04467697,0.16529576,-0.95086312,black
0.29524082,-0.07426889,0.61056614,red
0.5493865,-0.17130946,0.28195858,red
-0.01930829,-0.02844249,1.07593465,red
-0.01554181,0.08161155,0.79135007,white
0.04445608,0.15113215,0.50158322,white
-0.12476459,-0.21787962,-0.24903615,red
0.32753164,-0.18480514,0.23862338,red
0.29230866,-0.03427099,-0.02125169,red
0.26107779,-0.23184156,-0.01319451,red
0.08098899,-0.0112062,0.64777517,white
0.08950284,-0.06235946,0.85771829,white
-0.10968024,0.10735829,-0.05639308,red
0.41771778,-0.04399966,0.19654967,red
0.27691922,0.05190008,0.48242849,red
0.22976111,0.21425024,-0.92262971,black
0.6763953,-0.13207701,0.21970315,white
-0.12750328,-0.08792894,0.68509245,white
-0.1923956,-0.08397391,-0.56352657,black
-0.39301226,-0.08775747,0.48706719,red
-0.03691904,0.24506599,-0.94336367,black
-0.05565303,0.10562559,-0.21450162,red
-0.25411412,-0.01045601,-0.74410355,black
-0.27570501,0.0475445,-0.65737665,black
0.06951308,0.20655821,0.1173314,orange
0.25261715,0.08683918,-0.01617547,red
0.02915717,-0.18809782,0.71225226,white
0.16376159,-0.10426628,-0.61594713,red
0.11685701,0.09792954,0.69033962,white
0.09080642,0.02323149,0.91789085,white
0.29244033,0.0103346,0.11812422,orange
-0.16895366,-0.21555533,-0.22793856,red
-0.03519769,0.13304411,0.69550997,white
0.36871827,-0.13621074,0.5293811,red
-0.6129654,-0.05693281,0.09212874,white
-0.24048388,0.10139591,-0.31922999,red
0.32551178,-0.08572114,0.58431387,red
-0.11168732,0.12386224,0.34855333,red
-0.05309839,0.17371902,-0.99968201,black
0.20198062,0.13118103,-0.31377777,red
-0.24832451,0.10345893,-0.19281484,red
-0.19746712,-0.10639706,-0.05,red
0.71044791,-0.18928425,0.06667331,white
-0.01287277,-0.06018324,-0.56370378,black
-0.21676475,0.13458636,0.55050844,white
-0.12266495,0.13834029,-0.05355119,red
-0.11027957,0.08863783,-0.7965802,black
-0.20056078,0.15990284,0.58053285,white
-0.20132981,-0.22816825,0.45712361,red
0.67884666,-0.03686548,0.13784423,white
0.49561617,-0.21765853,0.23612872,red
-0.11764482,-0.03605415,0.69852853,white
0.27700886,0.05092791,0.03554959,red
-0.30496278,-0.16612971,0.02174111,red
0.23290373,-0.23628917,0.08431436,red
0.02588062,-0.27861759,0.57397664,white
-0.18123309,0.09893402,0.58969432,white
0.07306798,-0.11775403,0.87447834,red
-0.26112756,0.09952109,-0.07172026,white
0.0822768,-0.10399097,-0.56098366,black
-0.06357273,-0.23388764,-0.19610962,red
-0.15323552,-0.13336787,-0.58041644,black
-0.01487687,0.15128011,0.21739101,red
0.13644287,0.12221172,0.64860171,white
0.2592696,-0.07394951,-0.11019478,red
0.02200562,-0.09192227,-0.47172704,red
0.10433631,-0.02591892,0.79920167,white
0.15349174,0.15637821,-0.38229007,red
-0.05723627,-0.31943002,-0.0542573,red
-0.0175484,-0.05192721,-0.59164435,black
0.14847727,-0.10684124,-0.92396551,black
-0.15000424,0.0768897,-0.6668967,black
-0.1433004,0.07477886,-0.81094897,black
0.4999288,-0.21845943,0.0926661,white
0.51743239,-0.13473211,0.11089646,white
0.13255368,-0.21963601,-0.17019683,red
0.1029826,0.13435823,-0.55543345,black
0.32059857,-0.05677015,0.03234272,red
0.52398556,-0.21799888,0.20779276,red
0.03551411,-0.10598148,-0.49545422,red
-0.06453715,-0.12826726,-0.65700752,black
-0.19891679,0.13695171,-0.08071949,white
-0.60112625,-0.17245184,0.15968369,white
0.24037991,-0.05222861,-0.5573411,black
0.15112725,0.08689754,0.41984218,red
-0.21245913,-0.11785277,0.63137442,red
-0.14320092,-0.21320435,-0.11637319,red
-0.12084439,-0.10671467,-0.62174833,red
-0.04418747,0.24684183,-0.1948626,white
0.0455954,0.11184232,0.8381626,white
0.23443049,0.26193887,-0.97660273,black
-0.01780563,-0.28616196,0.57659078,white
-0.10491827,0.19936033,0.1284271,orange
-0.03288812,0.13258547,0.51882708,red
0.13265605,-0.13394029,-0.57156026,black
-0.04045178,-0.28644502,0.1366723,red
0.13557266,0.15257873,0.3373293,white
-0.15749405,0.06147429,0.64811105,white
0.46955413,-0.07026038,0.27554056,red
0.6074093,-0.20318429,0.2215406,white
-0.11104517,0.0391387,0.84279835,white
-0.07389294,0.12088003,-0.08428742,red
0.29798028,-0.19821544,0.31788442,red
-0.30534732,-0.19344513,0.3515673,red
-0.0027736,0.0556965,0.65825981,red
0.40117377,-0.12152569,0.48595142,red
0.23200789,-0.23723263,-0.13943675,red
-0.58970129,-0.17831145,0.18924321,white
-0.01555759,-0.03950101,-0.68605858,black
-0.04666475,0.15469851,-0.97138023,black
-0.08043984,0.16672808,0.62368232,white
0.13845254,0.07371841,0.6613574,white
-0.3553943,-0.05110973,-0.11513384,white
0.23361242,-0.17245087,-0.15848428,red
0.21884683,-0.22315502,0.11933962,orange
0.11028101,-0.10125935,0.63554609,white
-0.30635521,-0.0818327,0.17148136,red
-0.01462413,0.21892007,0.62260252,white
-0.25896415,-0.05363943,-0.50442898,red
0.18821463,-0.28796649,-0.02006382,red
0.2239815,0.04130386,-0.87554431,black
-0.00478808,0.07849337,0.53008479,white
-0.09986468,0.01939073,0.89022303,white
0.04980151,0.06911591,-0.61928827,black
0.05540452,0.11394375,-0.65722597,black
0.08396136,-0.05528232,-0.99849486,black
0.06619114,-0.17899813,0.59843534,white
0.40669274,-0.05199678,0.44055846,red
-0.09821064,0.12513268,0.51134706,white
0.28182438,0.01035782,-0.22884423,red
0.11095995,0.09843315,-0.5996964,red
0.09954996,0.36002582,-0.97261924,black
0.35340229,-0.08169871,-0.07107802,white
-0.20231932,-0.25171933,0.18956286,red
-0.22910762,0.10853287,-0.68578678,black
-0.27519494,0.06312481,0.11144414,orange
-0.29219925,-0.23020144,-0.055,white
-0.51034451,-0.20658924,0.24525025,red
-0.04827526,0.07537305,-0.93465894,black
0.19420791,-0.2558867,0.08731237,orange
0.25542036,0.04328261,-0.69728929,black
0.16000299,0.00865091,0.69207412,white
0.38428262,-0.00977738,0.41463888,red
-0.30628374,-0.0234135,0.086128,orange
0.47147235,-0.10335155,0.38260728,red
-0.32079607,0.02255732,-0.13589136,red
0.27661794,0.01062588,-0.57077444,black
-0.43832064,-0.16743217,0.13040414,red
-0.27658787,-0.1662448,0.12772407,orange
-0.2603282,0.02926316,-0.39065897,red
-0.2372513,0.04792592,-0.1409322,red
-0.3564333,-0.17567264,0.19829024,red
0.70386785,-0.03228252,0.1342327,white
-0.03542127,-0.28136078,0.11421253,orange
0.19975671,-0.16423903,-0.3282209,red
-0.26393196,-0.15357669,-0.17155571,red
-0.78638083,-0.13439424,0.04352616,white
-0.21906425,-0.0324355,-0.99839735,black
-0.05134237,-0.28872621,-0.23000208,white
-0.06394768,0.00697201,-0.8417986,black
-0.24649207,-0.17365606,0.32595122,red
0.37870449,-0.1816638,0.19809274,red
0.13050404,0.24925084,-0.88405001,black
-0.07389612,0.21519335,0.10353352,orange
0.47813305,-0.18954328,0.1344444,red
0.03715387,0.14578618,0.35235155,white
0.31489798,-0.19494964,0.49186897,red
0.57475507,-0.06671704,0.09552519,white
-0.11489688,-0.21532038,-0.06477948,red
-0.00829756,0.21415995,0.01471242,red
0.23226155,-0.10244771,-0.68662083,black
0.01380114,0.1585267,0.70767504,white
0.17695943,-0.07088985,-0.75847727,black
-0.28202841,-0.16080411,0.61730814,red
-0.54109728,-0.056284,0.30351326,red
0.11650556,0.11205439,0.01857484,red
0.25251821,0.02098642,-0.70914966,black
0.29094738,-0.14972566,0.20139,red
-0.07139689,0.09235453,-0.5813145,red
-0.37807599,-0.03580705,0.51673335,red
0.13282427,0.14576992,-0.87789899,black
-0.01327567,-0.20068018,0.88286519,red
0.45454934,-0.1592537,0.24960288,red
0.16134945,0.17489296,0.40527993,white
-0.25979683,-0.0844126,-0.67834651,black
-0.22679447,0.03268399,-0.79431176,black
0.08852546,-0.23924394,0.62019974,red
0.14323349,-0.13156244,-0.51004034,red
-0.04072303,-0.30259061,0.49559897,white
-0.11216049,0.10296787,-0.05,red
0.67479432,-0.12091913,0.0709286,white
0.22295007,-0.0668989,-0.7470156,black
-0.03517367,-0.16496505,0.64691782,red
-0.0864817,0.20363586,-0.08500917,white
-0.34312317,-0.12860712,-0.15183948,white
0.21348803,0.08486874,-0.88227928,black
0.52255285,-0.07862537,0.32553676,red
-0.41956991,-0.04824366,0.4211987,red
-0.11279388,0.00439729,0.96399695,red
-0.14729181,-0.23552766,0.58967376,white
-0.7831049,-0.03600822,0.00070159,white
0.06786293,-0.07408984,0.92316848,white
-0.0360553,0.12922539,-0.02189997,red
0.22496146,-0.05799947,-0.74879265,black
-0.01792013,0.16169026,0.40567565,white
0.23352322,0.10441441,0.50793219,white
-0.21352145,-0.19439483,0.60750586,white
0.09378586,-0.1091929,0.66258115,white
-0.4317272,-0.17466046,0.41123563,red
0.105196,0.14081539,-0.17064658,red
-0.13231462,0.13962965,-0.2381888,red
-0.40666229,-0.02799077,0.31566137,red
-0.08174184,-0.29015467,0.168974,orange
-0.31367356,-0.10532624,0.15806012,orange
-0.60625964,-0.13090466,0.21126492,white
-0.21003163,-0.22847798,0.45423201,red
-0.00484573,-0.29648885,0.09406341,red
-0.11695392,-0.12219863,0.60833287,white
-0.02135196,0.07156458,-0.27332759,red
0.11375768,-0.06321327,0.67177957,white
-0.02878819,-0.2635273,0.26828644,red
-0.07009147,0.08518782,-0.51240015,red
0.22433925,-0.06500676,0.65504169,white
-0.10161112,-0.01095589,0.71218365,white
0.52021509,-0.08297717,0.32911184,red
-0.04613101,0.11100887,-0.96192926,black
0.0909121,-0.1372086,0.64479285,red
0.23307543,-0.04239704,-0.7744872,black
-0.00648414,-0.14177099,0.7849474,white
-0.0532352,-0.11293139,-0.53373098,black
-0.10274629,-0.13947785,0.72494799,white
0.02859655,-0.29550493,-0.07622462,red
-0.10488073,-0.14185525,-0.05,red
0.39933667,-0.19298628,0.21535529,red
-0.28278628,0.09979959,-0.21048966,white
0.01345062,0.2102873,-0.035091,red
-0.23721956,0.1621677,-0.23,white
-0.25652826,-0.02800005,-0.51842314,red
0.16547742,0.08375667,0.43576187,red
0.33367771,-0.12378206,0.5833267,red
0.17608687,0.29384619,-0.99599999,black
0.03496671,-0.16145949,-0.16790463,red
0.24713416,0.06738732,-0.38479149,red
0.15393023,0.13475527,0.34346354,white
-0.30292282,-0.11535122,-0.15420589,red
-0.17305261,-0.20675856,-0.26413718,red
-0.29685962,0.00151991,0.13538198,orange
0.10958069,0.01495096,-0.99935561,black
-0.11844518,0.0911255,0.45983836,red
0.23972039,-0.0291669,-0.67695946,black
0.14298958,0.34624836,-0.90961176,black
0.82856727,-0.10333076,0.01246472,white
-0.17503516,0.07393841,0.40811217,red
0.05754064,0.18681926,0.168974,orange
0.02009011,-0.30809146,0.78500062,white
0.16065548,0.13321573,-0.65248525,black
0.06877469,0.0301631,0.62580198,white
-0.05401655,-0.08825732,0.89716113,white
0.24359252,-0.22791827,0.08642858,orange
-0.02343035,0.10056479,0.5745852,white
-0.03312437,0.03772885,-0.56888217,red
-0.00593651,-0.30133593,0.11045662,orange
-0.6385721,-0.05129663,0.16401324,white
-0.03453444,-0.09314691,1.08938658,red
0.22983065,-0.22964805,0.43764901,red
-0.19889024,0.12148331,0.27269661,red
0.62636691,-0.06070478,0.1803802,white
0.19687921,0.1843988,-0.89921707,black
-0.38773248,-0.01296469,0.41103822,red
0.10729627,0.1059204,-0.50243527,red
-0.03393076,-0.28382367,0.58027446,white
-0.13697864,0.19478598,0.09296183,orange
0.28161019,-0.02723978,0.26883218,red
-0.19504881,-0.17368084,-0.05,red
-0.26764748,-0.04689716,0.27189037,red
-0.16550818,-0.2944811,-0.17876066,red
-0.07547583,-0.18939734,0.94295096,red
-0.05683018,-0.29456261,-0.22999999,white
-0.19399492,-0.1314117,-0.65618718,black
-0.29779428,0.02499732,0.37531409,red
0.44580987,-0.07790145,0.12538412,red
-0.04594913,0.16814896,0.51400298,white
